"TaskId","Tidspunkt","Type","Adresse","Status","Detaljer","Fejl"
"https-karriere","2025-05-24T15:48:31","https","https://karrierevejviser.dk/","success","200 OK",""
https-praktik,2025-05-24T15:55:06,https,https://praktik.dk/,success,"200 OK",""
ping-studerendeonline,2025-05-24T15:58:02,ping,188.114.97.0,success,"10/10 OK",""
https-jobbank,2025-05-24T15:58:05,https,https://jobbank.dk/,success,"200 OK",""
https-nyuddannet,2025-05-24T15:58:07,https,https://nyuddannet.dk/,success,"200 OK",""
https-karriere,2025-05-24T15:58:08,https,https://karrierevejviser.dk/,success,"200 OK",""
https-praktik,2025-05-24T15:58:11,https,https://praktik.dk/,success,"200 OK",""
https-jobmesse,2025-05-24T15:58:11,https,https://jobmesse.dk/,success,"200 OK",""
https-sosu,2025-05-24T15:58:13,https,https://sosu.nu/,success,"200 OK",""
https-frivilligjob,2025-05-24T15:58:16,https,https://frivilligjob.dk/,success,"200 OK",""
https-moveon,2025-05-24T15:58:17,https,https://moveon.dk/career/,success,"200 OK",""
ping-studerendeonline,2025-05-26T13:10:01,ping,188.114.97.0,success,"10/10 OK",""
https-jobbank,2025-05-26T13:10:03,https,https://jobbank.dk/,success,"200 OK",""
https-nyuddannet,2025-05-26T13:10:04,https,https://nyuddannet.dk/,success,"200 OK",""
https-karriere,2025-05-26T13:10:05,https,https://karrierevejviser.dk/,success,"200 OK",""
https-praktik,2025-05-26T13:10:07,https,https://praktik.dk/,success,"200 OK",""
https-jobmesse,2025-05-26T13:10:07,https,https://jobmesse.dk/,success,"200 OK",""
https-sosu,2025-05-26T13:10:08,https,https://sosu.nu/,success,"200 OK",""
https-frivilligjob,2025-05-26T13:10:09,https,https://frivilligjob.dk/,success,"200 OK",""
test-fejl-http,2025-05-26T13:10:09,http,http://thisdoesnotexist.tld,fail,"Request failed","Navnet på fjernenheden kunne ikke fortolkes.: 'thisdoesnotexist.tld'"
https-moveon,2025-05-26T13:10:11,https,https://moveon.dk/career/,success,"200 OK",""
ping-studerendeonline,2025-05-30T10:07:58,ping,188.114.97.0,success,"10/10 OK",""
https-jobbank,2025-05-30T10:08:00,https,https://jobbank.dk/,success,"200 OK",""
https-nyuddannet,2025-05-30T10:08:01,https,https://nyuddannet.dk/,success,"200 OK",""
https-karriere,2025-05-30T10:08:03,https,https://karrierevejviser.dk/,success,"200 OK",""
https-praktik,2025-05-30T10:08:04,https,https://praktik.dk/,success,"200 OK",""
https-jobmesse,2025-05-30T10:08:05,https,https://jobmesse.dk/,success,"200 OK",""
https-sosu,2025-05-30T10:08:07,https,https://sosu.nu/,success,"200 OK",""
https-frivilligjob,2025-05-30T10:08:07,https,https://frivilligjob.dk/,success,"200 OK",""
https-moveon,2025-05-30T10:08:07,https,https://moveon.dk/career/,success,"200 OK",""
